Manufacturer,Category,GPU,OS,CPU_core,Screen_Size_inch,CPU_frequency,RAM_GB,Storage_GB_SSD,Weight_pounds,Price,Price-binned
Acer,4,2,1,5,14,0.551724138,8,256,3.528,978,Low
Dell,3,1,1,3,15.6,0.689655172,4,256,4.851,634,Low
Dell,3,1,1,7,15.6,0.931034483,8,256,4.851,946,Low
Dell,4,2,1,5,13.3,0.551724138,8,128,2.6901,1244,Low
HP,4,2,1,7,15.6,0.620689655,8,256,4.21155,837,Low
Dell,3,1,1,5,15.6,0.551724138,8,256,4.851,1016,Low
HP,3,3,1,5,15.6,0.551724138,8,256,4.6305,1117,Low
Acer,3,2,1,5,15,0.551724138,4,256,4.851,866,Low
Dell,3,1,1,5,15.6,0.862068966,4,256,5.0715,812,Low
Acer,3,3,1,7,15,0.620689655,8,256,4.851,1068,Low
Dell,3,1,1,7,15.6,0.620689655,8,256,4.69665,975,Low
HP,3,2,1,3,15.6,0.689655172,4,128,4.21155,558,Low
Asus,3,2,2,3,15.6,0.689655172,4,256,4.41,527,Low
Dell,4,2,1,5,14,0.551724138,8,256,3.7485,1117,Low
Asus,3,2,1,5,14,0.551724138,8,256,3.087,1195,Low
HP,3,2,1,5,15.6,0.862068966,8,256,4.1013,876,Low
Dell,4,1,1,7,13,0.620689655,8,256,3.087,1213,Low
Dell,3,1,1,7,15.6,0.620689655,8,256,4.851,1105,Low
Dell,4,2,1,5,15,0.551724138,8,256,4.1454,1392,Low
HP,3,2,1,5,14,0.551724138,8,256,3.59415,1092,Low
HP,4,3,1,7,15,0.620689655,8,256,4.03515,888,Low
HP,3,2,1,5,15.6,0.862068966,8,256,4.3218,761,Low
Dell,4,2,1,7,13,0.620689655,8,256,2.66805,2095,Medium
Dell,1,3,1,5,15.6,0.862068966,8,256,5.84325,1518,Low
Asus,4,2,1,7,14,0.931034483,8,256,2.75625,1333,Low
Dell,3,1,2,3,15.6,0.689655172,4,256,4.851,616,Low
Asus,3,3,1,3,15.6,0.827586207,6,256,4.41,733,Low
HP,3,1,1,7,15.6,0.931034483,8,256,4.21155,913,Low
HP,4,3,1,7,13,0.931034483,8,256,3.0429,1421,Low
HP,3,3,1,5,14,0.862068966,6,256,4.10622103,837,Low
Asus,4,3,1,7,14,0.931034483,8,256,2.8665,1515,Low
Lenovo,3,2,1,7,14,0.931034483,8,256,3.4839,1880,Medium
Dell,4,2,1,5,13,0.551724138,8,256,2.66805,2069,Medium
Asus,3,3,1,7,15.6,0.620689655,8,256,3.7485,1420,Low
HP,3,2,1,5,17.3,0.551724138,8,256,5.5125,1179,Low
Acer,4,2,1,7,14,0.620689655,8,256,3.528,1123,Low
Acer,3,3,1,3,15.6,0.931034483,4,256,4.851,727,Low
HP,3,2,1,7,14,0.620689655,8,256,3.59415,1255,Low
HP,3,2,1,5,13,0.862068966,4,256,4.10622103,888,Low
Lenovo,3,1,1,5,14,0.551724138,8,256,3.85875,1418,Low
Asus,4,2,1,7,14,0.620689655,8,256,2.75625,1396,Low
HP,4,2,1,5,14,0.931034483,4,256,3.2634,1374,Low
HP,3,1,1,5,15.6,0.551724138,6,256,4.21155,786,Low
Acer,3,3,1,5,17,0.551724138,4,256,6.615,1023,Low
Dell,3,1,1,5,15.6,0.551724138,8,256,4.69665,925,Low
Lenovo,1,3,1,7,15,0.965517241,16,256,5.5125,1371,Low
Acer,3,3,1,5,17,0.551724138,8,256,6.615,1085,Low
Huawei,4,2,1,5,13,0.862068966,8,256,2.31525,1714,Medium
HP,3,3,1,5,17.3,0.551724138,8,256,5.5125,1172,Low
Dell,4,2,1,5,13.3,0.551724138,8,256,4.10622103,1777,Medium
Acer,4,2,1,5,13,0.413793103,8,256,2.4696,1256,Low
HP,3,3,1,7,17.3,0.620689655,8,256,5.5125,1327,Low
Dell,4,2,1,7,13.3,0.620689655,8,256,2.646,1841,Medium
Dell,4,1,1,7,13,0.620689655,8,256,3.087,1184,Low
HP,3,3,1,7,14,0.620689655,8,256,3.59415,1310,Low
